ts,black_profile,white_profile,winner,result,moves,seconds,visits,komi,sgf,error,handicap
2026-09-12 20:19:14,rank_1k,preaz_1k,B,B+R,192,112.9,40,7.5,g00071_rank_1k_vs_preaz_1k.sgf,,0
2026-09-12 20:20:52,rank_1d,rank_3d,W,W+R,209,154.8,40,7.5,g00072_rank_1d_vs_rank_3d.sgf,,0
2026-09-12 20:21:07,rank_1d,rank_5k,B,B+R,146,142.1,40,7.5,g00073_rank_1d_vs_rank_5k.sgf,,0
2026-09-12 20:23:27,rank_1d,rank_3d,W,W+R,209,115.0,40,7.5,g00074_rank_1d_vs_rank_3d.sgf,,0
2026-09-12 20:23:29,preaz_20k,preaz_15k,W,W+R,145,127.2,40,7.5,g00075_preaz_20k_vs_preaz_15k.sgf,,0
2026-09-12 20:25:22,preaz_5k,preaz_10k,B,B+R,146,119.6,40,7.5,g00076_preaz_5k_vs_preaz_10k.sgf,,0
2026-09-12 20:25:36,preaz_1k,rank_1k,W,W+R,145,118.1,40,7.5,g00077_preaz_1k_vs_rank_1k.sgf,,0
2026-09-12 20:27:21,preaz_1k,preaz_5k,B,B+R,146,83.0,40,7.5,g00078_preaz_1k_vs_preaz_5k.sgf,,0
2026-09-12 20:27:34,preaz_15k,preaz_10k,W,W+R,145,101.2,40,7.5,g00079_preaz_15k_vs_preaz_10k.sgf,,0
2026-09-12 20:29:15,rank_3d,rank_1d,B,B+R,146,126.4,40,7.5,g00081_rank_3d_vs_rank_1d.sgf,,0
2026-09-12 20:28:44,rank_1k,rank_5k,B,B+3.5,270,160.7,40,7.5,g00080_rank_1k_vs_rank_5k.sgf,,0
2026-09-12 20:31:22,rank_5k,rank_1d,W,W+R,145,96.3,40,7.5,g00082_rank_5k_vs_rank_1d.sgf,,0
2026-09-12 20:31:25,rank_5d,rank_3d,B,B+R,244,183.9,40,7.5,g00083_rank_5d_vs_rank_3d.sgf,,0
2026-09-12 20:32:58,preaz_5k,preaz_10k,W,W+R,145,114.5,40,7.5,g00084_preaz_5k_vs_preaz_10k.sgf,,0
2026-09-12 20:34:29,rank_5k,rank_1k,W,W+R,145,133.5,40,7.5,g00085_rank_5k_vs_rank_1k.sgf,,0
2026-09-12 20:34:53,preaz_1k,preaz_5k,B,B+R,162,117.4,40,7.5,g00086_preaz_1k_vs_preaz_5k.sgf,,0
2026-09-12 20:36:43,rank_5d,rank_3d,B,B+R,172,110.8,40,7.5,g00087_rank_5d_vs_rank_3d.sgf,,0
2026-09-12 20:36:50,rank_1k,rank_1d,W,W+R,181,117.8,40,7.5,g00088_rank_1k_vs_rank_1d.sgf,,0
